"CBSAA","NAME_E.y","housing_chg"
10100,"Aberdeen, SD Micro Area",26700
10140,"Aberdeen, WA Micro Area",34300
10180,"Abilene, TX Metro Area",30900
10220,"Ada, OK Micro Area",26900
10300,"Adrian, MI Micro Area",28100
10380,"Aguadilla-Isabela, PR Metro Area",-10700
10420,"Akron, OH Metro Area",15700
10460,"Alamogordo, NM Micro Area",19000
10500,"Albany, GA Metro Area",14100
10540,"Albany-Lebanon, OR Metro Area",69900
10580,"Albany-Schenectady-Troy, NY Metro Area",23800
10620,"Albemarle, NC Micro Area",22200
10660,"Albert Lea, MN Micro Area",16800
10700,"Albertville, AL Micro Area",25800
10740,"Albuquerque, NM Metro Area",22600
10780,"Alexandria, LA Metro Area",24400
10820,"Alexandria, MN Micro Area",38100
10860,"Alice, TX Micro Area",3600
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",19400
10940,"Alma, MI Micro Area",8700
10980,"Alpena, MI Micro Area",11600
11020,"Altoona, PA Metro Area",17600
11060,"Altus, OK Micro Area",9400
11100,"Amarillo, TX Metro Area",25400
11140,"Americus, GA Micro Area",39600
11180,"Ames, IA Metro Area",13700
11220,"Amsterdam, NY Micro Area",9100
11260,"Anchorage, AK Metro Area",28800
11380,"Andrews, TX Micro Area",41600
11420,"Angola, IN Micro Area",25500
11460,"Ann Arbor, MI Metro Area",70300
11500,"Anniston-Oxford, AL Metro Area",15700
11540,"Appleton, WI Metro Area",22200
11580,"Arcadia, FL Micro Area",23200
11620,"Ardmore, OK Micro Area",20500
11640,"Arecibo, PR Metro Area",-12000
11660,"Arkadelphia, AR Micro Area",28900
11700,"Asheville, NC Metro Area",49900
11740,"Ashland, OH Micro Area",11400
11780,"Ashtabula, OH Micro Area",11200
11820,"Astoria, OR Micro Area",63000
11860,"Atchison, KS Micro Area",20600
11900,"Athens, OH Micro Area",21400
11940,"Athens, TN Micro Area",26800
11980,"Athens, TX Micro Area",29200
12020,"Athens-Clarke County, GA Metro Area",35900
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",65600
12100,"Atlantic City-Hammonton, NJ Metro Area",-9000
12140,"Auburn, IN Micro Area",19000
12180,"Auburn, NY Micro Area",18100
12220,"Auburn-Opelika, AL Metro Area",19400
12260,"Augusta-Richmond County, GA-SC Metro Area",25100
12300,"Augusta-Waterville, ME Micro Area",13400
12380,"Austin, MN Micro Area",19100
12420,"Austin-Round Rock-Georgetown, TX Metro Area",94600
12460,"Bainbridge, GA Micro Area",600
12540,"Bakersfield, CA Metro Area",59200
12580,"Baltimore-Columbia-Towson, MD Metro Area",29700
12620,"Bangor, ME Metro Area",10900
12660,"Baraboo, WI Micro Area",18300
12680,"Bardstown, KY Micro Area",30600
12700,"Barnstable Town, MA Metro Area",50500
12740,"Barre, VT Micro Area",19200
12780,"Bartlesville, OK Micro Area",14800
12860,"Batavia, NY Micro Area",18200
12900,"Batesville, AR Micro Area",-8300
12940,"Baton Rouge, LA Metro Area",28200
12980,"Battle Creek, MI Metro Area",19500
13020,"Bay City, MI Metro Area",13600
13060,"Bay City, TX Micro Area",34400
13100,"Beatrice, NE Micro Area",15800
