GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALLJE001,NAME_M,ALLJM001
"G0100030","2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",223100,"Baldwin County, Alabama",10868
"G0100150","2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",121600,"Calhoun County, Alabama",7799
"G0100430","2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",137600,"Cullman County, Alabama",8016
"G0100490","2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",115200,"DeKalb County, Alabama",18526
"G0100510","2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",176100,"Elmore County, Alabama",14493
"G0100550","2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",127500,"Etowah County, Alabama",9867
"G0100690","2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",155600,"Houston County, Alabama",5685
"G0100730","2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",170000,"Jefferson County, Alabama",5000
"G0100770","2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",151500,"Lauderdale County, Alabama",11572
"G0100810","2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",183000,"Lee County, Alabama",13895
"G0100830","2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",183500,"Limestone County, Alabama",23080
"G0100890","2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",193900,"Madison County, Alabama",5973
"G0100950","2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",135600,"Marshall County, Alabama",9500
"G0100970","2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",139600,"Mobile County, Alabama",5547
"G0101010","2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",134300,"Montgomery County, Alabama",7150
"G0101030","2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",151600,"Morgan County, Alabama",11225
"G0101150","2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",164600,"St. Clair County, Alabama",14523
"G0101170","2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",229600,"Shelby County, Alabama",8397
"G0101210","2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",119500,"Talladega County, Alabama",13440
"G0101250","2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",179800,"Tuscaloosa County, Alabama",8452
"G0101270","2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",135600,"Walker County, Alabama",11841
