GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSA,CBSAA,CSAA,METDIV,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALLJE001,NAME_M,ALLJM001
"G1446014454","2019","US",,,,,,,,,"Boston-Cambridge-Newton, MA-NH Metro Area","14460",,"Boston, MA Metro Division","14454",,,,,,,,,,,"31400US1446014454","Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",484400,"Boston, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",6224
"G1446015764","2019","US",,,,,,,,,"Boston-Cambridge-Newton, MA-NH Metro Area","14460",,"Cambridge-Newton-Framingham, MA Metro Division","15764",,,,,,,,,,,"31400US1446015764","Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",529200,"Cambridge-Newton-Framingham, MA Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",6895
"G1446040484","2019","US",,,,,,,,,"Boston-Cambridge-Newton, MA-NH Metro Area","14460",,"Rockingham County-Strafford County, NH Metro Division","40484",,,,,,,,,,,"31400US1446040484","Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",334000,"Rockingham County-Strafford County, NH Metro Division; Boston-Cambridge-Newton, MA-NH Metro Area",7272
"G1698016984","2019","US",,,,,,,,,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","16980",,"Chicago-Naperville-Evanston, IL Metro Division","16984",,,,,,,,,,,"31400US1698016984","Chicago-Naperville-Evanston, IL Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",266100,"Chicago-Naperville-Evanston, IL Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2129
"G1698020994","2019","US",,,,,,,,,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","16980",,"Elgin, IL Metro Division","20994",,,,,,,,,,,"31400US1698020994","Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",243100,"Elgin, IL Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",4811
"G1698023844","2019","US",,,,,,,,,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","16980",,"Gary, IN Metro Division","23844",,,,,,,,,,,"31400US1698023844","Gary, IN Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",172200,"Gary, IN Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3180
"G1698029404","2019","US",,,,,,,,,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","16980",,"Lake County-Kenosha County, IL-WI Metro Division","29404",,,,,,,,,,,"31400US1698029404","Lake County-Kenosha County, IL-WI Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",254600,"Lake County-Kenosha County, IL-WI Metro Division; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",5824
"G1910019124","2019","US",,,,,,,,,"Dallas-Fort Worth-Arlington, TX Metro Area","19100",,"Dallas-Plano-Irving, TX Metro Division","19124",,,,,,,,,,,"31400US1910019124","Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",272400,"Dallas-Plano-Irving, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",2456
"G1910023104","2019","US",,,,,,,,,"Dallas-Fort Worth-Arlington, TX Metro Area","19100",,"Fort Worth-Arlington-Grapevine, TX Metro Division","23104",,,,,,,,,,,"31400US1910023104","Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",225600,"Fort Worth-Arlington-Grapevine, TX Metro Division; Dallas-Fort Worth-Arlington, TX Metro Area",2609
"G1982019804","2019","US",,,,,,,,,"Detroit-Warren-Dearborn, MI Metro Area","19820",,"Detroit-Dearborn-Livonia, MI Metro Division","19804",,,,,,,,,,,"31400US1982019804","Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area",134300,"Detroit-Dearborn-Livonia, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area",2513
"G1982047664","2019","US",,,,,,,,,"Detroit-Warren-Dearborn, MI Metro Area","19820",,"Warren-Troy-Farmington Hills, MI Metro Division","47664",,,,,,,,,,,"31400US1982047664","Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area",227800,"Warren-Troy-Farmington Hills, MI Metro Division; Detroit-Warren-Dearborn, MI Metro Area",2232
"G3108011244","2019","US",,,,,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area","31080",,"Anaheim-Santa Ana-Irvine, CA Metro Division","11244",,,,,,,,,,,"31400US3108011244","Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area",725100,"Anaheim-Santa Ana-Irvine, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area",6375
"G3108031084","2019","US",,,,,,,,,"Los Angeles-Long Beach-Anaheim, CA Metro Area","31080",,"Los Angeles-Long Beach-Glendale, CA Metro Division","31084",,,,,,,,,,,"31400US3108031084","Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area",644100,"Los Angeles-Long Beach-Glendale, CA Metro Division; Los Angeles-Long Beach-Anaheim, CA Metro Area",2895
"G3310022744","2019","US",,,,,,,,,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","33100",,"Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division","22744",,,,,,,,,,,"31400US3310022744","Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",300400,"Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6018
"G3310033124","2019","US",,,,,,,,,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","33100",,"Miami-Miami Beach-Kendall, FL Metro Division","33124",,,,,,,,,,,"31400US3310033124","Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",330500,"Miami-Miami Beach-Kendall, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",4647
"G3310048424","2019","US",,,,,,,,,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","33100",,"West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division","48424",,,,,,,,,,,"31400US3310048424","West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",311300,"West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division; Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6055
"G3562035004","2019","US",,,,,,,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","35620",,"Nassau County-Suffolk County, NY Metro Division","35004",,,,,,,,,,,"31400US3562035004","Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",481900,"Nassau County-Suffolk County, NY Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",3462
"G3562035084","2019","US",,,,,,,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","35620",,"Newark, NJ-PA Metro Division","35084",,,,,,,,,,,"31400US3562035084","Newark, NJ-PA Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",391100,"Newark, NJ-PA Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",4364
"G3562035154","2019","US",,,,,,,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","35620",,"New Brunswick-Lakewood, NJ Metro Division","35154",,,,,,,,,,,"31400US3562035154","New Brunswick-Lakewood, NJ Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",368500,"New Brunswick-Lakewood, NJ Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",2916
"G3562035614","2019","US",,,,,,,,,"New York-Newark-Jersey City, NY-NJ-PA Metro Area","35620",,"New York-Jersey City-White Plains, NY-NJ Metro Division","35614",,,,,,,,,,,"31400US3562035614","New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",585000,"New York-Jersey City-White Plains, NY-NJ Metro Division; New York-Newark-Jersey City, NY-NJ-PA Metro Area",4940
"G3798015804","2019","US",,,,,,,,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","37980",,"Camden, NJ Metro Division","15804",,,,,,,,,,,"31400US3798015804","Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",229000,"Camden, NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2531
"G3798033874","2019","US",,,,,,,,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","37980",,"Montgomery County-Bucks County-Chester County, PA Metro Division","33874",,,,,,,,,,,"31400US3798033874","Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",347100,"Montgomery County-Bucks County-Chester County, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",3162
"G3798037964","2019","US",,,,,,,,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","37980",,"Philadelphia, PA Metro Division","37964",,,,,,,,,,,"31400US3798037964","Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",200600,"Philadelphia, PA Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4234
"G3798048864","2019","US",,,,,,,,,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","37980",,"Wilmington, DE-MD-NJ Metro Division","48864",,,,,,,,,,,"31400US3798048864","Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",262400,"Wilmington, DE-MD-NJ Metro Division; Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5258
"G4186036084","2019","US",,,,,,,,,"San Francisco-Oakland-Berkeley, CA Metro Area","41860",,"Oakland-Berkeley-Livermore, CA Metro Division","36084",,,,,,,,,,,"31400US4186036084","Oakland-Berkeley-Livermore, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",798500,"Oakland-Berkeley-Livermore, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",7425
"G4186041884","2019","US",,,,,,,,,"San Francisco-Oakland-Berkeley, CA Metro Area","41860",,"San Francisco-San Mateo-Redwood City, CA Metro Division","41884",,,,,,,,,,,"31400US4186041884","San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",1226000,"San Francisco-San Mateo-Redwood City, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",18473
"G4186042034","2019","US",,,,,,,,,"San Francisco-Oakland-Berkeley, CA Metro Area","41860",,"San Rafael, CA Metro Division","42034",,,,,,,,,,,"31400US4186042034","San Rafael, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",1078800,"San Rafael, CA Metro Division; San Francisco-Oakland-Berkeley, CA Metro Area",35868
"G4266042644","2019","US",,,,,,,,,"Seattle-Tacoma-Bellevue, WA Metro Area","42660",,"Seattle-Bellevue-Kent, WA Metro Division","42644",,,,,,,,,,,"31400US4266042644","Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area",582900,"Seattle-Bellevue-Kent, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area",6781
"G4266045104","2019","US",,,,,,,,,"Seattle-Tacoma-Bellevue, WA Metro Area","42660",,"Tacoma-Lakewood, WA Metro Division","45104",,,,,,,,,,,"31400US4266045104","Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area",362100,"Tacoma-Lakewood, WA Metro Division; Seattle-Tacoma-Bellevue, WA Metro Area",4015
"G4790023224","2019","US",,,,,,,,,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","47900",,"Frederick-Gaithersburg-Rockville, MD Metro Division","23224",,,,,,,,,,,"31400US4790023224","Frederick-Gaithersburg-Rockville, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",457300,"Frederick-Gaithersburg-Rockville, MD Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6559
"G4790047894","2019","US",,,,,,,,,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","47900",,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division","47894",,,,,,,,,,,"31400US4790047894","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",442900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division; Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",3742
