GISJOIN,GEOGYEAR,CBSA,CBSAA,CM1AA1990,CM1AA1990L,CM1AA1990U,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AA2020,CM1AA2020L,CM1AA2020U,CM1AB1990,CM1AB1990L,CM1AB1990U,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AB2020,CM1AB2020L,CM1AB2020U,CM1AC1990,CM1AC1990L,CM1AC1990U,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AC2020,CM1AC2020L,CM1AC2020U,CM1AD1990,CM1AD1990L,CM1AD1990U,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AD2020,CM1AD2020L,CM1AD2020U,CM1AE1990,CM1AE1990L,CM1AE1990U,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AE2020,CM1AE2020L,CM1AE2020U,CM1AF1990,CM1AF1990L,CM1AF1990U,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AF2020,CM1AF2020L,CM1AF2020U,CM1AG1990,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,CM1AG2020,CM1AG2020L,CM1AG2020U
"G10020","2010","Abbeville, LA Micro Area","10020",42320.30,42237,43225,44598.12,44498,45769,46922,44477.03,44456,44535,6968.15,6956,7236,7631.68,7624,7885,8286,7931.00,7931,7931,82.00,82,82,161.17,161,170,209,195.00,195,195,678.00,678,678,977.28,977,979,1160,1263.00,1263,1263,1.00,1,1,6.00,6,6,5,13.00,13,13,101.00,101,101,141.04,141,145,603,969.00,969,969,,411.02,410,442,814,2511.00,2511,2512
"G10100","2010","Aberdeen, SD Micro Area","10100",38710.98,38702,38740,38185.82,38171,38205,38038,36898.00,36898,36898,46.00,46,46,103.00,103,103,199,578.00,578,578,1001.00,1001,1001,975.00,975,975,1123,1237.00,1237,1237,144.00,144,144,146.00,146,146,360,945.00,945,945,0.00,0,0,32.00,32,32,42,45.00,45,45,34.00,34,34,65.00,65,65,169,725.00,725,725,,320.00,320,320,671,1859.00,1859,1859
"G10140","2010","Aberdeen, WA Micro Area","10140",60229.89,60003,60249,59334.86,59294,59338,61825,59040.05,58992,59254,119.00,119,119,226.00,225,226,803,1026.00,1026,1026,2682.00,2677,2682,3132.00,3132,3132,3325,3878.03,3874,3884,651.00,650,651,818.00,818,818,1032,1049.96,1049,1053,61.00,61,61,73.00,73,73,182,134.00,134,134,432.00,432,432,1527.00,1527,1528,2817,3666.97,3666,3671,,2082.98,2078,2083,2813,6830.10,6826,6856
"G10180","2010","Abilene, TX Metro Area","10180",125505.01,125416,125561,130625.01,130587,130674,131508,124281.00,124281,124281,8215.00,8215,8215,10938.00,10938,10938,12184,13928.00,13928,13928,541.00,541,541,916.00,916,917,1084,1462.00,1462,1462,1451.00,1451,1451,1708.00,1708,1708,2209,3091.00,3091,3091,69.00,69,69,94.00,94,94,132,203.00,203,203,12223.00,12223,12231,12462.00,12462,12465,13268,13988.00,13988,13988,,3502.00,3502,3502,4867,19626.00,19626,19626
"G10220","2010","Ada, OK Micro Area","10220",28246.19,28143,28374,26638.06,26619,26712,26687,23271.04,23271,23344,862.00,862,862,725.00,725,725,902,884.00,884,884,4741.00,4715,4750,5451.00,5437,5459,6512,7171.00,7171,7178,110.00,110,110,160.00,160,160,244,373.00,373,373,3.00,3,3,6.00,6,6,17,13.00,13,13,157.00,157,157,278.00,278,278,425,774.00,774,774,,1885.02,1879,1891,2705,5579.02,5579,5584
"G10300","2010","Adrian, MI Micro Area","10300",86323.00,86323,86323,91484.00,91484,91484,92174,86549.00,86549,86549,1431.00,1431,1431,2094.00,2094,2094,2539,2614.00,2614,2614,303.00,303,303,408.00,408,408,475,504.00,504,504,485.00,485,485,450.00,450,450,519,497.00,497,497,1.00,1,1,7.00,7,7,26,17.00,17,17,2933.00,2933,2933,2974.00,2974,2974,1967,2224.00,2224,2224,,1473.00,1473,1473,2192,7018.00,7018,7018
"G10420","2010","Akron, OH Metro Area","10420",583851.76,582675,583907,596823.67,595625,596884,585423,540592.94,540549,540602,65090.47,65085,65091,76447.66,76446,76448,84807,87763.00,87762,87763,1357.00,1357,1357,1363.00,1362,1363,1311,1327.00,1327,1327,6096.82,6088,6097,8887.00,8887,8887,14190,26046.00,26046,26046,83.00,83,83,120.00,120,120,173,206.00,206,206,1046.93,1046,1047,1917.98,1914,1918,3015,6659.00,6659,6659,,9342.22,9325,9343,14281,39620.00,39617,39620
"G10460","2010","Alamogordo, NM Micro Area","10460",41313.01,41313,41329,45919.00,45919,45919,46352,38165.00,38151,38175,2755.00,2755,2755,2440.00,2440,2440,2251,2662.00,2662,2664,2984.00,2984,2984,3614.00,3614,3614,4271,4981.00,4981,4981,898.00,898,898,728.00,728,728,749,1056.00,1055,1058,68.00,68,68,82.00,82,82,153,183.00,183,184,3910.00,3910,3910,7273.00,7273,7273,7352,8371.00,8370,8372,,2242.00,2242,2242,2669,12419.00,12415,12427
"G10500","2010","Albany, GA Metro Area","10500",79579.00,79579,79628,77861.00,77861,77935,70063,63263.00,63263,63263,65811.00,65811,65820,76806.00,76806,76810,82029,79331.00,79331,79331,345.00,345,345,394.00,394,394,368,318.00,318,318,528.00,528,528,846.00,846,846,1481,1695.00,1695,1695,24.00,24,24,39.00,39,39,148,55.00,55,55,287.00,287,289,786.00,786,794,1348,2075.00,2075,2075,,1101.00,1101,1101,1871,5061.00,5061,5061
"G10540","2010","Albany-Lebanon, OR Micro Area","10540",88373.45,88210,88374,96072.33,95995,96073,105669,107699.67,107238,107837,182.00,182,182,327.00,327,327,534,681.00,680,682,1055.99,1054,1056,1313.00,1313,1313,1488,1727.04,1727,1729,693.00,693,693,799.00,799,799,1111,1477.00,1474,1480,106.00,106,106,151.00,151,151,162,295.00,295,296,826.00,826,826,1855.00,1855,1855,3888,4716.01,4716,4722,,2564.99,2563,2565,3820,12014.08,11966,12035
