GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JTIE001,NAME_M,JTIM001
"G53000109501001","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501001",,,"Block Group 1, Census Tract 9501, Adams County, Washington",191000,"Block Group 1, Census Tract 9501, Adams County, Washington",23491
"G53000109501002","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501002",,,"Block Group 2, Census Tract 9501, Adams County, Washington",115300,"Block Group 2, Census Tract 9501, Adams County, Washington",8923
"G53000109501003","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501003",,,"Block Group 3, Census Tract 9501, Adams County, Washington",73700,"Block Group 3, Census Tract 9501, Adams County, Washington",13462
"G53000109502001","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502001",,,"Block Group 1, Census Tract 9502, Adams County, Washington",72700,"Block Group 1, Census Tract 9502, Adams County, Washington",19485
"G53000109502002","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502002",,,"Block Group 2, Census Tract 9502, Adams County, Washington",88300,"Block Group 2, Census Tract 9502, Adams County, Washington",11348
"G53000109502003","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502003",,,"Block Group 3, Census Tract 9502, Adams County, Washington",98800,"Block Group 3, Census Tract 9502, Adams County, Washington",105978
"G53000109503001","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950300","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503001",,,"Block Group 1, Census Tract 9503, Adams County, Washington",151600,"Block Group 1, Census Tract 9503, Adams County, Washington",150050
"G53000109503002","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950300","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503002",,,"Block Group 2, Census Tract 9503, Adams County, Washington",196400,"Block Group 2, Census Tract 9503, Adams County, Washington",24515
"G53000109503003","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950300","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503003",,,"Block Group 3, Census Tract 9503, Adams County, Washington",87400,"Block Group 3, Census Tract 9503, Adams County, Washington",9770
"G53000109503004","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950300","4",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503004",,,"Block Group 4, Census Tract 9503, Adams County, Washington",157800,"Block Group 4, Census Tract 9503, Adams County, Washington",61842
"G53000109503005","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950300","5",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503005",,,"Block Group 5, Census Tract 9503, Adams County, Washington",59300,"Block Group 5, Census Tract 9503, Adams County, Washington",29133
"G53000109504001","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019504001",,,"Block Group 1, Census Tract 9504, Adams County, Washington",177300,"Block Group 1, Census Tract 9504, Adams County, Washington",35799
"G53000109504002","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019504002",,,"Block Group 2, Census Tract 9504, Adams County, Washington",139100,"Block Group 2, Census Tract 9504, Adams County, Washington",9808
"G53000109505001","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950500","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019505001",,,"Block Group 1, Census Tract 9505, Adams County, Washington",144500,"Block Group 1, Census Tract 9505, Adams County, Washington",10630
"G53000109505002","2006-2010","WA",,,"Washington","53","Adams County","001",,,"950500","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US530019505002",,,"Block Group 2, Census Tract 9505, Adams County, Washington",137100,"Block Group 2, Census Tract 9505, Adams County, Washington",17963
"G53000309601001","2006-2010","WA",,,"Washington","53","Asotin County","003",,,"960100","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601001",,,"Block Group 1, Census Tract 9601, Asotin County, Washington",219100,"Block Group 1, Census Tract 9601, Asotin County, Washington",72749
"G53000309601002","2006-2010","WA",,,"Washington","53","Asotin County","003",,,"960100","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601002",,,"Block Group 2, Census Tract 9601, Asotin County, Washington",140300,"Block Group 2, Census Tract 9601, Asotin County, Washington",109443
"G53000309601003","2006-2010","WA",,,"Washington","53","Asotin County","003",,,"960100","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601003",,,"Block Group 3, Census Tract 9601, Asotin County, Washington",242400,"Block Group 3, Census Tract 9601, Asotin County, Washington",23088
"G53000309602001","2006-2010","WA",,,"Washington","53","Asotin County","003",,,"960200","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602001",,,"Block Group 1, Census Tract 9602, Asotin County, Washington",225100,"Block Group 1, Census Tract 9602, Asotin County, Washington",12996
"G53000309602002","2006-2010","WA",,,"Washington","53","Asotin County","003",,,"960200","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602002",,,"Block Group 2, Census Tract 9602, Asotin County, Washington",77900,"Block Group 2, Census Tract 9602, Asotin County, Washington",13091
"G53000309602003","2006-2010","WA",,,"Washington","53","Asotin County","003",,,"960200","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602003",,,"Block Group 3, Census Tract 9602, Asotin County, Washington",161400,"Block Group 3, Census Tract 9602, Asotin County, Washington",35221
"G53000309602004","2006-2010","WA",,,"Washington","53","Asotin County","003",,,"960200","4",,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602004",,,"Block Group 4, Census Tract 9602, Asotin County, Washington",195400,"Block Group 4, Census Tract 9602, Asotin County, Washington",24227
