GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JTIE001,NAME_M,JTIM001
"G10020","2006-2010","US",,,,,,,,,,,,,,,,"Abbeville, LA Micro Area","10020",,,,,,,,,,,,,,,,"31000US10020",,,"Abbeville, LA Micro Area",93300,"Abbeville, LA Micro Area",3151
"G10100","2006-2010","US",,,,,,,,,,,,,,,,"Aberdeen, SD Micro Area","10100",,,,,,,,,,,,,,,,"31000US10100",,,"Aberdeen, SD Micro Area",111800,"Aberdeen, SD Micro Area",4302
"G10140","2006-2010","US",,,,,,,,,,,,,,,,"Aberdeen, WA Micro Area","10140",,,,,,,,,,,,,,,,"31000US10140",,,"Aberdeen, WA Micro Area",158200,"Aberdeen, WA Micro Area",4792
"G10180","2006-2010","US",,,,,,,,,,,,,,,,"Abilene, TX Metro Area","10180",,,,,,,,,,,,,,,,"31000US10180",,,"Abilene, TX Metro Area",83400,"Abilene, TX Metro Area",2009
"G10220","2006-2010","US",,,,,,,,,,,,,,,,"Ada, OK Micro Area","10220",,,,,,,,,,,,,,,,"31000US10220",,,"Ada, OK Micro Area",92500,"Ada, OK Micro Area",5989
"G10260","2006-2010","PR",,,,,,,,,,,,,,,,"Adjuntas, PR Micro Area","10260",,,,,,,,,,,,,,,,"31000US10260",,,"Adjuntas, PR Micro Area",87600,"Adjuntas, PR Micro Area",4463
"G10300","2006-2010","US",,,,,,,,,,,,,,,,"Adrian, MI Micro Area","10300",,,,,,,,,,,,,,,,"31000US10300",,,"Adrian, MI Micro Area",140400,"Adrian, MI Micro Area",2840
"G10380","2006-2010","PR",,,,,,,,,,,,,,,,"Aguadilla-Isabela-San Sebastián, PR Metro Area","10380",,,,,,,,,,,,,,,,"31000US10380",,,"Aguadilla-Isabela-San Sebastián, PR Metro Area",96300,"Aguadilla-Isabela-San Sebastián, PR Metro Area",1175
"G10420","2006-2010","US",,,,,,,,,,,,,,,,"Akron, OH Metro Area","10420",,,,,,,,,,,,,,,,"31000US10420",,,"Akron, OH Metro Area",144800,"Akron, OH Metro Area",1117
"G10460","2006-2010","US",,,,,,,,,,,,,,,,"Alamogordo, NM Micro Area","10460",,,,,,,,,,,,,,,,"31000US10460",,,"Alamogordo, NM Micro Area",104500,"Alamogordo, NM Micro Area",4633
"G10500","2006-2010","US",,,,,,,,,,,,,,,,"Albany, GA Metro Area","10500",,,,,,,,,,,,,,,,"31000US10500",,,"Albany, GA Metro Area",104200,"Albany, GA Metro Area",3214
"G10540","2006-2010","US",,,,,,,,,,,,,,,,"Albany-Lebanon, OR Micro Area","10540",,,,,,,,,,,,,,,,"31000US10540",,,"Albany-Lebanon, OR Micro Area",180300,"Albany-Lebanon, OR Micro Area",4177
"G10580","2006-2010","US",,,,,,,,,,,,,,,,"Albany-Schenectady-Troy, NY Metro Area","10580",,,,,,,,,,,,,,,,"31000US10580",,,"Albany-Schenectady-Troy, NY Metro Area",189600,"Albany-Schenectady-Troy, NY Metro Area",1498
