GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G53000109501001","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501001",,,"Block Group 1, Census Tract 9501, Adams County, Washington",194000,"Block Group 1, Census Tract 9501, Adams County, Washington",50451
"G53000109501002","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501002",,,"Block Group 2, Census Tract 9501, Adams County, Washington",131600,"Block Group 2, Census Tract 9501, Adams County, Washington",8561
"G53000109501003","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501003",,,"Block Group 3, Census Tract 9501, Adams County, Washington",68600,"Block Group 3, Census Tract 9501, Adams County, Washington",18830
"G53000109502001","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502001",,,"Block Group 1, Census Tract 9502, Adams County, Washington",78700,"Block Group 1, Census Tract 9502, Adams County, Washington",10086
"G53000109502002","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502002",,,"Block Group 2, Census Tract 9502, Adams County, Washington",127100,"Block Group 2, Census Tract 9502, Adams County, Washington",36568
"G53000109502003","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502003",,,"Block Group 3, Census Tract 9502, Adams County, Washington",207500,"Block Group 3, Census Tract 9502, Adams County, Washington",85364
"G53000109503001","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503001",,,"Block Group 1, Census Tract 9503, Adams County, Washington",,"Block Group 1, Census Tract 9503, Adams County, Washington",
"G53000109503002","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503002",,,"Block Group 2, Census Tract 9503, Adams County, Washington",264300,"Block Group 2, Census Tract 9503, Adams County, Washington",39587
"G53000109503003","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503003",,,"Block Group 3, Census Tract 9503, Adams County, Washington",131600,"Block Group 3, Census Tract 9503, Adams County, Washington",15997
"G53000109503004","2011-2015","WA",,,"Washington","53","Adams County","001",,,"950300","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503004",,,"Block Group 4, Census Tract 9503, Adams County, Washington",141100,"Block Group 4, Census Tract 9503, Adams County, Washington",44320
