GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G10100","2011-2015","US",,,,,,,,,,,,,,,,"Aberdeen, SD Micro Area","10100",,,,,,,,,,,,,,,,,"31000US10100",,,"Aberdeen, SD Micro Area",141600,"Aberdeen, SD Micro Area",4852
"G10140","2011-2015","US",,,,,,,,,,,,,,,,"Aberdeen, WA Micro Area","10140",,,,,,,,,,,,,,,,,"31000US10140",,,"Aberdeen, WA Micro Area",158300,"Aberdeen, WA Micro Area",4197
"G10180","2011-2015","US",,,,,,,,,,,,,,,,"Abilene, TX Metro Area","10180",,,,,,,,,,,,,,,,,"31000US10180",,,"Abilene, TX Metro Area",94000,"Abilene, TX Metro Area",2341
"G10220","2011-2015","US",,,,,,,,,,,,,,,,"Ada, OK Micro Area","10220",,,,,,,,,,,,,,,,,"31000US10220",,,"Ada, OK Micro Area",107800,"Ada, OK Micro Area",5756
"G10260","2011-2015","PR",,,,,,,,,,,,,,,,"Adjuntas, PR Micro Area","10260",,,,,,,,,,,,,,,,,"31000US10260",,,"Adjuntas, PR Micro Area",103000,"Adjuntas, PR Micro Area",9404
"G10300","2011-2015","US",,,,,,,,,,,,,,,,"Adrian, MI Micro Area","10300",,,,,,,,,,,,,,,,,"31000US10300",,,"Adrian, MI Micro Area",114900,"Adrian, MI Micro Area",2348
"G10380","2011-2015","PR",,,,,,,,,,,,,,,,"Aguadilla-Isabela, PR Metro Area","10380",,,,,,,,,,,,,,,,,"31000US10380",,,"Aguadilla-Isabela, PR Metro Area",107000,"Aguadilla-Isabela, PR Metro Area",1932
"G10420","2011-2015","US",,,,,,,,,,,,,,,,"Akron, OH Metro Area","10420",,,,,,,,,,,,,,,,,"31000US10420",,,"Akron, OH Metro Area",137900,"Akron, OH Metro Area",1141
"G10460","2011-2015","US",,,,,,,,,,,,,,,,"Alamogordo, NM Micro Area","10460",,,,,,,,,,,,,,,,,"31000US10460",,,"Alamogordo, NM Micro Area",101800,"Alamogordo, NM Micro Area",6022
"G10500","2011-2015","US",,,,,,,,,,,,,,,,"Albany, GA Metro Area","10500",,,,,,,,,,,,,,,,,"31000US10500",,,"Albany, GA Metro Area",106100,"Albany, GA Metro Area",2775
"G10540","2011-2015","US",,,,,,,,,,,,,,,,"Albany, OR Metro Area","10540",,,,,,,,,,,,,,,,,"31000US10540",,,"Albany, OR Metro Area",170300,"Albany, OR Metro Area",3338
"G10580","2011-2015","US",,,,,,,,,,,,,,,,"Albany-Schenectady-Troy, NY Metro Area","10580",,,,,,,,,,,,,,,,,"31000US10580",,,"Albany-Schenectady-Troy, NY Metro Area",197400,"Albany-Schenectady-Troy, NY Metro Area",1408
"G10620","2011-2015","US",,,,,,,,,,,,,,,,"Albemarle, NC Micro Area","10620",,,,,,,,,,,,,,,,,"31000US10620",,,"Albemarle, NC Micro Area",128200,"Albemarle, NC Micro Area",4486
"G10660","2011-2015","US",,,,,,,,,,,,,,,,"Albert Lea, MN Micro Area","10660",,,,,,,,,,,,,,,,,"31000US10660",,,"Albert Lea, MN Micro Area",104800,"Albert Lea, MN Micro Area",3881
"G10700","2011-2015","US",,,,,,,,,,,,,,,,"Albertville, AL Micro Area","10700",,,,,,,,,,,,,,,,,"31000US10700",,,"Albertville, AL Micro Area",115500,"Albertville, AL Micro Area",3833
"G10740","2011-2015","US",,,,,,,,,,,,,,,,"Albuquerque, NM Metro Area","10740",,,,,,,,,,,,,,,,,"31000US10740",,,"Albuquerque, NM Metro Area",177100,"Albuquerque, NM Metro Area",1864
"G10780","2011-2015","US",,,,,,,,,,,,,,,,"Alexandria, LA Metro Area","10780",,,,,,,,,,,,,,,,,"31000US10780",,,"Alexandria, LA Metro Area",120100,"Alexandria, LA Metro Area",3086
"G10820","2011-2015","US",,,,,,,,,,,,,,,,"Alexandria, MN Micro Area","10820",,,,,,,,,,,,,,,,,"31000US10820",,,"Alexandria, MN Micro Area",188400,"Alexandria, MN Micro Area",5161
"G10860","2011-2015","US",,,,,,,,,,,,,,,,"Alice, TX Micro Area","10860",,,,,,,,,,,,,,,,,"31000US10860",,,"Alice, TX Micro Area",70100,"Alice, TX Micro Area",6282
