GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMWBE001,NAME_M,AMWBM001
"G53000109501001","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501001",,,"Block Group 1, Census Tract 9501, Adams County, Washington",238800,"Block Group 1, Census Tract 9501, Adams County, Washington",62880
"G53000109501002","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501002",,,"Block Group 2, Census Tract 9501, Adams County, Washington",137500,"Block Group 2, Census Tract 9501, Adams County, Washington",16090
"G53000109501003","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019501003",,,"Block Group 3, Census Tract 9501, Adams County, Washington",65000,"Block Group 3, Census Tract 9501, Adams County, Washington",58401
"G53000109502001","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502001",,,"Block Group 1, Census Tract 9502, Adams County, Washington",86200,"Block Group 1, Census Tract 9502, Adams County, Washington",4153
"G53000109502002","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502002",,,"Block Group 2, Census Tract 9502, Adams County, Washington",166100,"Block Group 2, Census Tract 9502, Adams County, Washington",63262
"G53000109502003","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019502003",,,"Block Group 3, Census Tract 9502, Adams County, Washington",76700,"Block Group 3, Census Tract 9502, Adams County, Washington",20607
"G53000109503011","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950301","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503011",,,"Block Group 1, Census Tract 9503.01, Adams County, Washington",253300,"Block Group 1, Census Tract 9503.01, Adams County, Washington",89112
"G53000109503021","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950302","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503021",,,"Block Group 1, Census Tract 9503.02, Adams County, Washington",108400,"Block Group 1, Census Tract 9503.02, Adams County, Washington",32384
"G53000109503031","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950303","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503031",,,"Block Group 1, Census Tract 9503.03, Adams County, Washington",,"Block Group 1, Census Tract 9503.03, Adams County, Washington",
"G53000109503032","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950303","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019503032",,,"Block Group 2, Census Tract 9503.03, Adams County, Washington",229700,"Block Group 2, Census Tract 9503.03, Adams County, Washington",13029
"G53000109504001","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019504001",,,"Block Group 1, Census Tract 9504, Adams County, Washington",188300,"Block Group 1, Census Tract 9504, Adams County, Washington",22742
"G53000109504002","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019504002",,,"Block Group 2, Census Tract 9504, Adams County, Washington",157400,"Block Group 2, Census Tract 9504, Adams County, Washington",10704
"G53000109505001","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950500","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019505001",,,"Block Group 1, Census Tract 9505, Adams County, Washington",183200,"Block Group 1, Census Tract 9505, Adams County, Washington",17032
"G53000109505002","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950500","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019505002",,,"Block Group 2, Census Tract 9505, Adams County, Washington",168400,"Block Group 2, Census Tract 9505, Adams County, Washington",16425
"G53000109505003","2016-2020","WA",,,"Washington","53","Adams County","001",,,"950500","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530019505003",,,"Block Group 3, Census Tract 9505, Adams County, Washington",,"Block Group 3, Census Tract 9505, Adams County, Washington",
"G53000309601001","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601001",,,"Block Group 1, Census Tract 9601, Asotin County, Washington",232800,"Block Group 1, Census Tract 9601, Asotin County, Washington",61363
"G53000309601002","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601002",,,"Block Group 2, Census Tract 9601, Asotin County, Washington",269200,"Block Group 2, Census Tract 9601, Asotin County, Washington",19019
"G53000309601003","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039601003",,,"Block Group 3, Census Tract 9601, Asotin County, Washington",293000,"Block Group 3, Census Tract 9601, Asotin County, Washington",37009
"G53000309602001","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602001",,,"Block Group 1, Census Tract 9602, Asotin County, Washington",261800,"Block Group 1, Census Tract 9602, Asotin County, Washington",20755
"G53000309602002","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602002",,,"Block Group 2, Census Tract 9602, Asotin County, Washington",166400,"Block Group 2, Census Tract 9602, Asotin County, Washington",99992
"G53000309602003","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960200","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602003",,,"Block Group 3, Census Tract 9602, Asotin County, Washington",283200,"Block Group 3, Census Tract 9602, Asotin County, Washington",42779
"G53000309602004","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960200","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039602004",,,"Block Group 4, Census Tract 9602, Asotin County, Washington",265400,"Block Group 4, Census Tract 9602, Asotin County, Washington",31540
"G53000309603001","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039603001",,,"Block Group 1, Census Tract 9603, Asotin County, Washington",105100,"Block Group 1, Census Tract 9603, Asotin County, Washington",81720
"G53000309603002","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039603002",,,"Block Group 2, Census Tract 9603, Asotin County, Washington",139600,"Block Group 2, Census Tract 9603, Asotin County, Washington",14190
"G53000309603003","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039603003",,,"Block Group 3, Census Tract 9603, Asotin County, Washington",121600,"Block Group 3, Census Tract 9603, Asotin County, Washington",27859
"G53000309603004","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960300","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039603004",,,"Block Group 4, Census Tract 9603, Asotin County, Washington",174000,"Block Group 4, Census Tract 9603, Asotin County, Washington",107468
"G53000309604001","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039604001",,,"Block Group 1, Census Tract 9604, Asotin County, Washington",156000,"Block Group 1, Census Tract 9604, Asotin County, Washington",15992
"G53000309604002","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039604002",,,"Block Group 2, Census Tract 9604, Asotin County, Washington",165600,"Block Group 2, Census Tract 9604, Asotin County, Washington",35678
"G53000309605001","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960500","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039605001",,,"Block Group 1, Census Tract 9605, Asotin County, Washington",157000,"Block Group 1, Census Tract 9605, Asotin County, Washington",20284
"G53000309605002","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960500","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039605002",,,"Block Group 2, Census Tract 9605, Asotin County, Washington",147200,"Block Group 2, Census Tract 9605, Asotin County, Washington",26401
"G53000309605003","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960500","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039605003",,,"Block Group 3, Census Tract 9605, Asotin County, Washington",168200,"Block Group 3, Census Tract 9605, Asotin County, Washington",16240
"G53000309605004","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960500","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039605004",,,"Block Group 4, Census Tract 9605, Asotin County, Washington",160500,"Block Group 4, Census Tract 9605, Asotin County, Washington",37560
"G53000309606001","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960600","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039606001",,,"Block Group 1, Census Tract 9606, Asotin County, Washington",136500,"Block Group 1, Census Tract 9606, Asotin County, Washington",60674
"G53000309606002","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960600","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039606002",,,"Block Group 2, Census Tract 9606, Asotin County, Washington",251000,"Block Group 2, Census Tract 9606, Asotin County, Washington",74439
"G53000309606003","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960600","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039606003",,,"Block Group 3, Census Tract 9606, Asotin County, Washington",221700,"Block Group 3, Census Tract 9606, Asotin County, Washington",29747
"G53000309606004","2016-2020","WA",,,"Washington","53","Asotin County","003",,,"960600","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530039606004",,,"Block Group 4, Census Tract 9606, Asotin County, Washington",189100,"Block Group 4, Census Tract 9606, Asotin County, Washington",37803
"G53000500101001","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050101001",,,"Block Group 1, Census Tract 101, Benton County, Washington",321900,"Block Group 1, Census Tract 101, Benton County, Washington",22553
"G53000500101002","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050101002",,,"Block Group 2, Census Tract 101, Benton County, Washington",336300,"Block Group 2, Census Tract 101, Benton County, Washington",16626
"G53000500102011","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010201","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102011",,,"Block Group 1, Census Tract 102.01, Benton County, Washington",245900,"Block Group 1, Census Tract 102.01, Benton County, Washington",25871
"G53000500102012","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010201","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102012",,,"Block Group 2, Census Tract 102.01, Benton County, Washington",211500,"Block Group 2, Census Tract 102.01, Benton County, Washington",50042
"G53000500102013","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010201","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102013",,,"Block Group 3, Census Tract 102.01, Benton County, Washington",329000,"Block Group 3, Census Tract 102.01, Benton County, Washington",19591
"G53000500102014","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010201","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102014",,,"Block Group 4, Census Tract 102.01, Benton County, Washington",346900,"Block Group 4, Census Tract 102.01, Benton County, Washington",26599
"G53000500102031","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010203","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102031",,,"Block Group 1, Census Tract 102.03, Benton County, Washington",283900,"Block Group 1, Census Tract 102.03, Benton County, Washington",73960
"G53000500102032","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010203","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102032",,,"Block Group 2, Census Tract 102.03, Benton County, Washington",,"Block Group 2, Census Tract 102.03, Benton County, Washington",
"G53000500102033","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010203","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102033",,,"Block Group 3, Census Tract 102.03, Benton County, Washington",207700,"Block Group 3, Census Tract 102.03, Benton County, Washington",40276
"G53000500102041","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010204","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102041",,,"Block Group 1, Census Tract 102.04, Benton County, Washington",183200,"Block Group 1, Census Tract 102.04, Benton County, Washington",43785
"G53000500102042","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010204","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050102042",,,"Block Group 2, Census Tract 102.04, Benton County, Washington",186700,"Block Group 2, Census Tract 102.04, Benton County, Washington",31714
"G53000500103001","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050103001",,,"Block Group 1, Census Tract 103, Benton County, Washington",191100,"Block Group 1, Census Tract 103, Benton County, Washington",9872
"G53000500103002","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050103002",,,"Block Group 2, Census Tract 103, Benton County, Washington",187700,"Block Group 2, Census Tract 103, Benton County, Washington",18111
"G53000500103003","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050103003",,,"Block Group 3, Census Tract 103, Benton County, Washington",159100,"Block Group 3, Census Tract 103, Benton County, Washington",18508
"G53000500103004","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010300","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050103004",,,"Block Group 4, Census Tract 103, Benton County, Washington",212200,"Block Group 4, Census Tract 103, Benton County, Washington",76707
"G53000500104001","2016-2020","WA",,,"Washington","53","Benton County","005",,,"010400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530050104001",,,"Block Group 1, Census Tract 104, Benton County, Washington",190600,"Block Group 1, Census Tract 104, Benton County, Washington",22329
