GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMWBE001,NAME_M,AMWBM001
"G10100","2016-2020","US",,,,,,,,,,,,,,,,,"10100",,,,,,,,,,,,,,,,,"31000US10100",,,"Aberdeen, SD Micro Area",168300,"Aberdeen, SD Micro Area",5404
"G10140","2016-2020","US",,,,,,,,,,,,,,,,,"10140",,,,,,,,,,,,,,,,,"31000US10140",,,"Aberdeen, WA Micro Area",192600,"Aberdeen, WA Micro Area",8404
"G10180","2016-2020","US",,,,,,,,,,,,,,,,,"10180",,,,,,,,,,,,,,,,,"31000US10180",,,"Abilene, TX Metro Area",124900,"Abilene, TX Metro Area",4813
"G10220","2016-2020","US",,,,,,,,,,,,,,,,,"10220",,,,,,,,,,,,,,,,,"31000US10220",,,"Ada, OK Micro Area",134700,"Ada, OK Micro Area",8882
"G10300","2016-2020","US",,,,,,,,,,,,,,,,,"10300",,,,,,,,,,,,,,,,,"31000US10300",,,"Adrian, MI Micro Area",143000,"Adrian, MI Micro Area",4513
"G10380","2016-2020","PR",,,,,,,,,,,,,,,,,"10380",,,,,,,,,,,,,,,,,"31000US10380",,,"Aguadilla-Isabela, PR Metro Area",96300,"Aguadilla-Isabela, PR Metro Area",1534
"G10420","2016-2020","US",,,,,,,,,,,,,,,,,"10420",,,,,,,,,,,,,,,,,"31000US10420",,,"Akron, OH Metro Area",153600,"Akron, OH Metro Area",2012
"G10460","2016-2020","US",,,,,,,,,,,,,,,,,"10460",,,,,,,,,,,,,,,,,"31000US10460",,,"Alamogordo, NM Micro Area",120800,"Alamogordo, NM Micro Area",4976
"G10500","2016-2020","US",,,,,,,,,,,,,,,,,"10500",,,,,,,,,,,,,,,,,"31000US10500",,,"Albany, GA Metro Area",120200,"Albany, GA Metro Area",4030
"G10540","2016-2020","US",,,,,,,,,,,,,,,,,"10540",,,,,,,,,,,,,,,,,"31000US10540",,,"Albany-Lebanon, OR Metro Area",240200,"Albany-Lebanon, OR Metro Area",5495
"G10580","2016-2020","US",,,,,,,,,,,,,,,,,"10580",,,,,,,,,,,,,,,,,"31000US10580",,,"Albany-Schenectady-Troy, NY Metro Area",221200,"Albany-Schenectady-Troy, NY Metro Area",1474
"G10620","2016-2020","US",,,,,,,,,,,,,,,,,"10620",,,,,,,,,,,,,,,,,"31000US10620",,,"Albemarle, NC Micro Area",150400,"Albemarle, NC Micro Area",5498
"G10660","2016-2020","US",,,,,,,,,,,,,,,,,"10660",,,,,,,,,,,,,,,,,"31000US10660",,,"Albert Lea, MN Micro Area",121600,"Albert Lea, MN Micro Area",5214
