"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G10020","Abbeville, LA Micro Area",-2444.97,-355,-14,103,8,366,1697
"G10100","Aberdeen, SD Micro Area",-1140,379,114,585,3,556,1188
"G10140","Aberdeen, WA Micro Area",-2784.95,223,553.03,17.96,-48,849.97,4017.1
"G10180","Abilene, TX Metro Area",-7227,1744,378,882,71,720,14759
"G10220","Ada, OK Micro Area",-3415.96,-18,659,129,-4,349,2874.02
"G10300","Adrian, MI Micro Area",-5625,75,29,-22,-9,257,4826
"G10420","Akron, OH Metro Area",-44830.0600000001,2956,16,11856,33,3644,25339
"G10460","Alamogordo, NM Micro Area",-8187,411,710,307,30,1019,9750
"G10500","Albany, GA Metro Area",-6800,-2698,-50,214,-93,727,3190
"G10540","Albany-Lebanon, OR Micro Area",2030.67,147,239.04,366,133,828.01,8194.08
"G10580","Albany-Schenectady-Troy, NY Metro Area",-55989,10391,860,19116,137,10079,43952
"G10620","Albemarle, NC Micro Area",-1474,449,78,27,-33,610,2262
"G10660","Albert Lea, MN Micro Area",-3133,255,68,910,-13,214,1339
"G10700","Albertville, AL Micro Area",-4538,934,692,124,34,2377,4970
"G10740","Albuquerque, NM Metro Area",-133717.88,2035,8164.01,5374,201,-3535.04000000001,150928.83
"G10760","Alexander City, AL Micro Area",-1434,-1248,-3,17,-23,-9,1243
"G10780","Alexandria, LA Metro Area",-6299.53,-1990.01,-31.01,277,-3,1059.99,5262.98
"G10820","Alexandria, MN Micro Area",1700.73,85,24,64,7,212,904
"G10860","Alice, TX Micro Area",-13433,28,-6,7,7,1081,10369
"G10880","Allegan, MI Micro Area",2051,226,163,226,0,1045,5383
"G10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area",-65450.47,12918,545,6812.01,38,29703.01,56151.05
"G10940","Alma, MI Micro Area",-2479,-116,1,18,21,451,1389
"G10980","Alpena, MI Micro Area",-1668,20,-34,-33,-1,85,940
"G11020","Altoona, PA Metro Area",-8628.75,404,21,172,-16,483.01,3289.77
"G11060","Altus, OK Micro Area",-2723,-259,56,32,21,-680,1892
"G11100","Amarillo, TX Metro Area",-25127,2308,823,2416,5,5592,31035
"G11140","Americus, GA Micro Area",-2302,-2173,-23,67,-8,123,650
"G11180","Ames, IA Metro Area",1702,823,161,78,14,1723,4494
"G11220","Amsterdam, NY Micro Area",-5310,316,-10,120,1,724,3472
"G11260","Anchorage, AK Metro Area",-20557,-1385,2474,4529,4385,4346,23716
"G11300","Anderson, IN Metro Area",-6858,-738,87,102,-2,1166,4736
"G11340","Anderson, SC Metro Area",4725.20999999999,441.740000000002,138.07,1010.6,15.39,2266.34,8214.63
"G11380","Andrews, TX Micro Area",-840,15,78,21,-1,989,3562
"G11420","Angola, IN Micro Area",-1256,55,12,20,-9,378,1050
"G11460","Ann Arbor, MI Metro Area",807.899999999994,-948.010000000002,16,6523,73,3270,17725
"G11500","Anniston-Oxford, AL Metro Area",-8254,1177,-53,345,23,577,4054
"G11540","Appleton, WI Metro Area",3083,1515,210,1635,73,1803,9162
"G11580","Arcadia, FL Micro Area",-1773.98,-161,40,14,-3,-2124.99,3123.01
"G11620","Ardmore, OK Micro Area",-3479,-306,244,109,42,1126,3433
"G11660","Arkadelphia, AR Micro Area",-2201.99,-286,-2,33,13,126.01,769
"G11700","Asheville, NC Metro Area",9295.62,278.02,494.98,1402,639.97,9059.93,22998.26
"G11740","Ashland, OH Micro Area",-2443.41,-4,25,47,-6,166,1523.01
"G11780","Ashtabula, OH Micro Area",-8555,20,-38,-26,-4,573,4107
"G11820","Astoria, OR Micro Area",845.080000000002,31,69,107,18,419,2544
"G11860","Atchison, KS Micro Area",-1284,-65,-5,13,-1,180,586
"G11900","Athens, OH Micro Area",-4933.01,1120,85,-524,-14,393,1549
"G11940","Athens, TN Micro Area",-1390,-196,4,42,11,287,2252
"G11980","Athens, TX Micro Area",-2894,-97,242,198,-1,763,5407
"G12020","Athens-Clarke County, GA Metro Area",6887.07999999999,1066,387,1565.05,6,2942,10022.07
"G12060","Atlanta-Sandy Springs-Marietta, GA Metro Area",-161799.03,336178.55,12414,144778.08,381,125679.14,343272.2
"G12100","Atlantic City-Hammonton, NJ Metro Area",-22769.55,-2618.99,203,1188.98,250,6973.99,16757.97
"G12140","Auburn, IN Micro Area",-265,42,-4,36,22,12,1199
"G12180","Auburn, NY Micro Area",-7025,-285,27,-5,23,379,3108
"G12220","Auburn-Opelika, AL Metro Area",11645,7669,275,4914,15,2519,6957
"G12260","Augusta-Richmond County, GA-SC Metro Area",-3238.78000000003,13754.64,173,3611,183,6095.76,25870.04
"G12300","Augusta-Waterville, ME Micro Area",-3862,232,-75,335,-16,478,4399
"G12380","Austin, MN Micro Area",-4691,820,92,1423,215,1188,1819
"G12420","Austin-Round Rock-San Marcos, TX Metro Area",58885.1499999999,32683.73,7541.15,79327.02,697,66832.42,321179.47
"G12460","Bainbridge, GA Micro Area",-538,803,-8,42,10,495,721
"G12540","Bakersfield-Delano, CA Metro Area",-128032.04,1209,5487,11931,256,69839.07,108913.98
"G12580","Baltimore-Towson, MD Metro Area",-151281.72,32139.15,2130.01,57596.08,-133.99,66722,126851.97
"G12620","Bangor, ME Metro Area",-7491,348,-378,443,2,563,4789
"G12660","Baraboo, WI Micro Area",14,265,94,61,5,856,2492
"G12700","Barnstable Town, MA Metro Area",-3735.07999999999,2541,-100,936,-4,2289,11181
"G12740","Barre, VT Micro Area",-3049.46,209,2,131,15,316,2641.83
"G12780","Bartlesville, OK Micro Area",-3803.18,123,161.99,426,-4,331,4243.96
"G12820","Bastrop, LA Micro Area",-2064,-1085,49,-6,-11,109,658
"G12860","Batavia, NY Micro Area",-4246,-171,-260,59,13,846,2068
"G12900","Batesville, AR Micro Area",-1579.43,127,64,67,-7,756,1864
"G12940","Baton Rouge, LA Metro Area",-17077.3,10552.25,474,3492,-27,15556.98,34073.97
"G12980","Battle Creek, MI Metro Area",-9202.39999999999,-359,48,1563,-21,737,5399.21
"G13020","Bay City, MI Metro Area",-8146,3,-101,-40,-9,294,4084
"G13060","Bay City, TX Micro Area",-6384,-300,60,1,-1,1398,4779
"G13100","Beatrice, NE Micro Area",-1312,68,-8,13,-1,55,578
