"GISJOIN","CBSA","chg_white_2010_2020","chg_black_2010_2020","chg_aiak_2010_2020","chg_asian_2010_2020","chg_nhpi_2010_2020","chg_other_2010_2020","chg_twoplus_2010_2020"
"G10180","Abilene, TX Metro Area",-5.49548316452231,14.3138542350624,34.8708487084871,39.9275690357628,53.7878787878788,5.42659029243292,303.246352989521
"G10420","Akron, OH Metro Area",-7.65772099832088,3.4855613333805,1.22044241037376,83.5517970401691,19.0751445086705,120.862354892206,177.431552412296
"G10500","Albany, GA Metro Area",-9.70555071863894,-3.28908069097514,-13.5869565217391,14.4496961512492,-62.8378378378378,53.9317507418398,170.49706039551
"G10580","Albany-Schenectady-Troy, NY Metro Area",-7.57431046704798,15.425839877674,41.5057915057915,70.3000882612533,47.7351916376307,76.2059579615908,205.556075203442
"G10740","Albuquerque, NM Metro Area",-21.6501945342592,8.57130823014068,15.7039452170735,29.9821468422227,21.6828478964401,-2.58850234683343,394.059763452651
"G10780","Alexandria, LA Metro Area",-6.20508855223498,-4.36568457538995,-2.45526524148852,17.1199011124845,-6.81818181818182,79.7584650112867,205.344518142801
"G10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area",-9.4331190178673,31.3391557496361,25.1615881809788,33.3366448076735,13.5231316725979,67.7825928207937,289.229679612651
"G11020","Altoona, PA Metro Area",-7.05897511412163,18.9760450915923,14.6853146853147,24.3626062322946,-55.1724137931034,162.62962962963,212.654815772463
"G11100","Amarillo, TX Metro Area",-12.6009879391189,15.1066893572457,43.1341719077568,37.0268199233716,4.80769230769231,27.744976432647,477.021211189671
"G11180","Ames, IA Metro Area",2.14508973583384,37.4772313296903,98.7730061349693,1.44900613041055,70,187.690631808279,296.04743083004
"G11260","Anchorage, AK Metro Area",-7.66943493086801,-8.10794988877181,8.82594270628947,18.3538661047171,71.6269193074159,58.0550360673257,80.705097665555
"G11300","Anderson, IN Metro Area",-5.94013096351731,-6.73173401441211,27.1875,18.4448462929476,-4.44444444444444,59.0978205778003,203.261802575107
