GEOID1,GEOID2,FULL1_NAME,FULL2_NAME,variable,estimate,moe,centroid1,centroid2,GISJOIN.x,YEAR.x,NAME_E.x,median_cost.x,YEAR.y,CBSAA.y,NAME_E.y,median_cost.y,housing_chg,GISJOIN.y,CBSA,chg_white_2010_2020,chg_black_2010_2020,chg_aiak_2010_2020,chg_asian_2010_2020,chg_nhpi_2010_2020,chg_other_2010_2020,chg_twoplus_2010_2020
42660,10180,"Seattle-Tacoma-Bellevue, WA Metro Area","Abilene, TX Metro Area",MOVEDOUT,48,34,"c(-121.881387433741, 47.5574033466574)","c(-99.717678358008, 32.4496900313019)",G10180,2011-2015,"Abilene, TX Metro Area",94000,2016-2020,10180,"Abilene, TX Metro Area",124900,30900,G10180,"Abilene, TX Metro Area",-7227,1744,378,882,71,720,14759
42660,10420,"Seattle-Tacoma-Bellevue, WA Metro Area","Akron, OH Metro Area",MOVEDOUT,49,45,"c(-121.881387433741, 47.5574033466574)","c(-81.3495122130132, 41.1487250686295)",G10420,2011-2015,"Akron, OH Metro Area",137900,2016-2020,10420,"Akron, OH Metro Area",153600,15700,G10420,"Akron, OH Metro Area",-44830.060000000056,2956,16,11856,33,3644,25339
42660,10500,"Seattle-Tacoma-Bellevue, WA Metro Area","Albany, GA Metro Area",MOVEDOUT,0,NA,"c(-121.881387433741, 47.5574033466574)","c(-84.1738860941887, 31.5895065709885)",G10500,2011-2015,"Albany, GA Metro Area",106100,2016-2020,10500,"Albany, GA Metro Area",120200,14100,G10500,"Albany, GA Metro Area",-6800,-2698,-50,214,-93,727,3190
42660,10540,"Seattle-Tacoma-Bellevue, WA Metro Area","Albany-Lebanon, OR Metro Area",MOVEDOUT,0,NA,"c(-121.881387433741, 47.5574033466574)","c(-122.534190165742, 44.4885691713577)",G10540,2011-2015,"Albany, OR Metro Area",170300,2016-2020,10540,"Albany-Lebanon, OR Metro Area",240200,69900,G10540,"Albany-Lebanon, OR Micro Area",2030.6699999999983,147,239.03999999999996,366,133,828.0100000000002,8194.08
42660,10580,"Seattle-Tacoma-Bellevue, WA Metro Area","Albany-Schenectady-Troy, NY Metro Area",MOVEDOUT,119,72,"c(-121.881387433741, 47.5574033466574)","c(-73.9419726782192, 42.7885022989832)",G10580,2011-2015,"Albany-Schenectady-Troy, NY Metro Area",197400,2016-2020,10580,"Albany-Schenectady-Troy, NY Metro Area",221200,23800,G10580,"Albany-Schenectady-Troy, NY Metro Area",-55989,10391,860,19116,137,10079,43952
42660,10740,"Seattle-Tacoma-Bellevue, WA Metro Area","Albuquerque, NM Metro Area",MOVEDOUT,568,284,"c(-121.881387433741, 47.5574033466574)","c(-106.471644596769, 35.1222952718886)",G10740,2011-2015,"Albuquerque, NM Metro Area",177100,2016-2020,10740,"Albuquerque, NM Metro Area",199700,22600,G10740,"Albuquerque, NM Metro Area",-133717.88,2035,8164.010000000002,5374,201,-3535.040000000008,150928.83
42660,10780,"Seattle-Tacoma-Bellevue, WA Metro Area","Alexandria, LA Metro Area",MOVEDOUT,96,87,"c(-121.881387433741, 47.5574033466574)","c(-92.5418574665648, 31.3305506967199)",G10780,2011-2015,"Alexandria, LA Metro Area",120100,2016-2020,10780,"Alexandria, LA Metro Area",144500,24400,G10780,"Alexandria, LA Metro Area",-6299.529999999999,-1990.010000000002,-31.00999999999999,277,-3,1059.9899999999998,5262.98
42660,10900,"Seattle-Tacoma-Bellevue, WA Metro Area","Allentown-Bethlehem-Easton, PA-NJ Metro Area",MOVEDOUT,420,413,"c(-121.881387433741, 47.5574033466574)","c(-75.4036455924293, 40.7893945116151)",G10900,2011-2015,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",199800,2016-2020,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",219200,19400,G10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",-65450.46999999997,12918,545,6812.009999999998,38,29703.009999999995,56151.05
42660,11100,"Seattle-Tacoma-Bellevue, WA Metro Area","Amarillo, TX Metro Area",MOVEDOUT,7,13,"c(-121.881387433741, 47.5574033466574)","c(-101.626097822503, 35.1850525884309)",G11100,2011-2015,"Amarillo, TX Metro Area",122200,2016-2020,11100,"Amarillo, TX Metro Area",147600,25400,G11100,"Amarillo, TX Metro Area",-25127,2308,823,2416,5,5592,31035
42660,11180,"Seattle-Tacoma-Bellevue, WA Metro Area","Ames, IA Metro Area",MOVEDOUT,4,8,"c(-121.881387433741, 47.5574033466574)","c(-93.4650447699997, 42.0362415119933)",G11180,2011-2015,"Ames, IA Metro Area",166000,2016-2020,11180,"Ames, IA Metro Area",179700,13700,G11180,"Ames, IA Metro Area",1702,823,161,78,14,1723,4494
